Designator,Mid X,Mid Y,Rotation,Layer
BT1,98.75,-89.75,270.0,bottom
BT2,137.25,-89.7,90.0,bottom
C1,101.0,-75.0,270.0,top
C11,144.45,-60.75,0.0,top
C12,144.24,-77.0,0.0,top
C13,144.5,-56.25,0.0,top
C14,144.415,-82.75,0.0,top
C15,106.0,-122.5,180.0,top
C2,101.0,-93.0,180.0,top
C3,101.0,-83.15,90.0,top
C4,110.8,-101.6,90.0,top
C5,129.5,-104.0,90.0,top
C6,125.2,-102.45,90.0,top
C7,106.0,-120.5,180.0,top
C8,106.0,-114.5,0.0,top
C9,134.3,-64.3,270.0,top
D1,138.75,-102.25,270.0,top
J1,143.5,-104.25,0.0,top
J2,115.475,-53.625,90.0,top
J3,121.75,-89.25,270.0,top
L1,133.0,-104.0,90.0,top
Q1,105.75,-64.71,270.0,top
Q2,129.25,-90.5,0.0,top
R1,115.0,-94.0,270.0,top
R10,106.0,-116.5,0.0,top
R11,125.25,-94.0,0.0,top
R12,129.25,-94.0,0.0,top
R13,129.25,-96.3,180.0,top
R2,106.25,-60.25,90.0,top
R3,121.0,-94.0,270.0,top
R4,118.0,-94.0,270.0,top
R5,131.2,-70.775,270.0,top
R6,129.0,-70.775,270.0,top
R7,131.55,-58.525,0.0,top
R8,106.0,-118.5,0.0,top
R9,106.0,-124.5,180.0,top
SW1,97.475,-46.75,90.0,top
SW2,120.5,-112.25,270.0,top
U1,118.0,-102.45,0.0,top
U2,105.75,-76.41,270.0,top
U3,131.525,-64.3875,90.0,top
U4,144.19,-67.5,270.0,top
Y2,109.0,-104.9,90.0,top
